,Country Name,UN Region,Amount,Total Population,Population Date,log_Population,Amount ,Population 
1,Switzerland,Europe,1109525371.08,8753933.0,31 Mar 2022,6.942203218328999,1.11G,8.75M
2,Afghanistan,Asia,629132274.0,32890171.0,1 Jul 2020,7.517066131438366,629.13M,32.89M
3,Syria,Asia,545216289.0,18276000.0,1 Jul 2021,7.261881149383667,545.22M,18.28M
4,Iraq,Asia,520965156.89,41190700.0,1 Jul 2021,7.614799172474848,520.97M,41.19M
5,Niger,Africa,512884918.69,24112753.0,1 Jul 2021,7.382246797455569,512.88M,24.11M
6,Central African Republic,Africa,511638242.0,5633412.0,1 Jul 2020,6.750771514555674,511.64M,5.63M
7,Yemen,Asia,487647787.0,30491000.0,1 Jul 2021,7.484171667965255,487.65M,30.49M
8,South Sudan,Africa,472686295.0,13249924.0,1 Jul 2020,7.122213387218088,472.69M,13.25M
9,South Africa,Africa,466049652.07,60142978.0,1 Jul 2021,7.779184928535812,466.05M,60.14M
10,Nigeria,Africa,455015902.0,216746934.0,1 Jul 2022,8.33595296286659,455.02M,216.75M
11,Italy,Europe,441708274.02,58906742.0,31 Mar 2022,7.77016500354486,441.71M,58.91M
12,Uganda,Africa,433104245.99,42885900.0,1 Jul 2021,7.632314528577885,433.10M,42.89M
13,Ethiopia,Africa,413114869.93,120812698.0,1 Jul 2022,8.082112583138686,413.11M,120.81M
14,Somalia,Africa,388979670.87,16360000.0,1 Jul 2021,7.213783299335304,388.98M,16.36M
15,Kenya,Africa,384065122.67,47564296.0,31 Aug 2019,7.677281073129907,384.07M,47.56M
16,DR Congo,Africa,360619875.42,92378000.0,1 Jul 2021,7.965568555460146,360.62M,92.38M
17,Tanzania,Africa,249983310.93,59441988.0,1 Jul 2021,7.7740933257019185,249.98M,59.44M
18,Lebanon,Asia,222795714.6,6769000.0,1 Jul 2021,6.830524514097259,222.80M,6.77M
19,Bangladesh,Asia,213921443.0,168220000.0,1 Jul 2020,8.225877628639518,213.92M,168.22M
20,Jordan,Asia,189913447.99,11256108.0,19 Jul 2022,7.051388251411322,189.91M,11.26M
21,Sudan,Africa,182920429.5,44601270.0,19 Jul 2022,7.649347225217507,182.92M,44.60M
22,Colombia,Americas,159769088.02,51049498.0,30 Jun 2021,7.707991475768632,159.77M,51.05M
23,Zambia,Africa,153939553.51,18400556.0,1 Jul 2021,7.264830946057566,153.94M,18.40M
24,Zimbabwe,Africa,151620665.0,15790716.0,1 Jul 2021,7.198401822712481,151.62M,15.79M
25,Guatemala,Americas,150812287.96,17109746.0,1 Jul 2021,7.233243562339627,150.81M,17.11M
26,Cote d'Ivoire,Africa,145834429.28,27087732.0,1 Jul 2021,7.432772643973037,145.83M,27.09M
27,Mozambique,Africa,145747388.98,31616078.0,1 Jul 2022,7.499907994356414,145.75M,31.62M
28,Senegal,Africa,138076533.98,17223497.0,1 Jul 2021,7.236121333738666,138.08M,17.22M
29,Pakistan,Asia,135349639.5,229488994.0,1 Jul 2022,8.36076186216224,135.35M,229.49M
30,Haiti,Americas,135056121.01,11743017.0,1 Jul 2020,7.069779689596565,135.06M,11.74M
31,Egypt,Africa,133240286.91,103596325.0,19 Jul 2022,8.015344349419546,133.24M,103.60M
