,Country / Dependency,UN Region,Population,Date,standard_names
1,China,Asia,1412600000,31 Dec 2021,China
2,India,Asia,1373761000,1 Mar 2022,India
3,United States,Americas,332903153,19 Jul 2022,United States
4,Indonesia,Asia,272248500,1 Jul 2021,Indonesia
5,Pakistan,Asia,229488994,1 Jul 2022,Pakistan
6,Nigeria,Africa,216746934,1 Jul 2022,Nigeria
7,Brazil,Americas,214902876,19 Jul 2022,Brazil
8,Bangladesh,Asia,168220000,1 Jul 2020,Bangladesh
9,Russia,Europe,147190000,1 Oct 2021,Russia
10,Mexico,Americas,128271248,31 Mar 2022,Mexico
11,Japan,Asia,125502000,1 Oct 2021,Japan
12,Ethiopia,Africa,120812698,1 Jul 2022,Ethiopia
13,Philippines,Asia,112170196,19 Jul 2022,Philippines
14,Egypt,Africa,103596325,19 Jul 2022,Egypt
15,Vietnam,Asia,98505400,1 Jul 2021,Vietnam
16,DR Congo,Africa,92378000,1 Jul 2021,DR Congo
17,Iran,Asia,85617295,19 Jul 2022,Iran
18,Turkey,Asia,84680273,31 Dec 2021,Turkey
19,Germany,Europe,83695430,31 Mar 2022,Germany
20,France,Europe,67874000,1 Jun 2022,France
21,United Kingdom,Europe,67081234,30 Jun 2020,United Kingdom
22,Thailand,Asia,66813330,19 Jul 2022,Thailand
23,South Africa,Africa,60142978,1 Jul 2021,South Africa
24,Tanzania,Africa,59441988,1 Jul 2021,Tanzania
25,Italy,Europe,58906742,31 Mar 2022,Italy
26,Myanmar,Asia,55294979,1 Jul 2021,Myanmar
27,South Korea,Asia,51745000,31 Dec 2021,South Korea
28,Colombia,Americas,51049498,30 Jun 2021,Colombia
29,Kenya,Africa,47564296,31 Aug 2019,Kenya
30,Spain,Europe,47432805,1 Jan 2022,Spain
31,Argentina,Americas,47327407,18 May 2022,Argentina
32,Algeria,Africa,45400000,1 Jan 2022,Algeria
33,Sudan,Africa,44601270,19 Jul 2022,Sudan
34,Uganda,Africa,42885900,1 Jul 2021,Uganda
35,Iraq,Asia,41190700,1 Jul 2021,Iraq
36,Ukraine,Europe,41130432,1 Feb 2022,Ukraine
37,Canada,Americas,38823639,19 Jul 2022,Canada
38,Poland,Europe,38014000,1 May 2022,Poland
39,Morocco,Africa,36664786,19 Jul 2022,Morocco
40,Uzbekistan,Asia,35661665,19 Jul 2022,Uzbekistan
41,Saudi Arabia,Asia,35013414,1 Jul 2020,Saudi Arabia
42,Peru,Americas,33396698,1 Jul 2022,Peru
43,Angola,Africa,33086278,30 Jun 2022,Angola
44,Afghanistan,Asia,32890171,1 Jul 2020,Afghanistan
45,Malaysia,Asia,32728400,19 Jul 2022,Malaysia
46,Mozambique,Africa,31616078,1 Jul 2022,Mozambique
47,Ghana,Africa,30832019,27 Jun 2021,Ghana
48,Yemen,Asia,30491000,1 Jul 2021,Yemen
49,Nepal,Asia,29192480,11 Nov 2021,Nepal
50,Venezuela,Americas,28705000,1 Jul 2021,Venezuela
51,Ivory Coast,Africa,27087732,1 Jul 2021,Cote d'Ivoire
52,Madagascar,Africa,26923353,1 Jul 2021,Madagascar
53,Australia,Oceania,25920968,19 Jul 2022,Australia
54,North Korea,Asia,25660000,1 Jul 2021,North Korea
55,Cameroon,Africa,24348251,1 Jul 2019,Cameroon
56,Niger,Africa,24112753,1 Jul 2021,Niger
57,Taiwan,Asia,23375314,31 Dec 2021,Taiwan
58,Sri Lanka,Asia,22156000,1 Jul 2021,Sri Lanka
59,Burkina Faso,Africa,21510181,1 Jul 2020,Burkina Faso
60,Malawi,Africa,21507723,1 Jul 2022,Malawi
61,Mali,Africa,21473764,1 Jul 2022,Mali
62,Chile,Americas,19678363,30 Jun 2021,Chile
