,Country Name,Annualized Growth Rate,2014 Amount,2019 Amount,UN Region,Total Population,id
0,Afghanistan,-8.713,448.47M,284.30M,Asia,32890171.0,Afghanistan
1,Angola,-1.955,30.77M,27.88M,Africa,33086278.0,Angola
2,Albania,0.517,7.73M,7.94M,Europe,2829741.0,Albania
3,United Arab Emirates,13.532,625.80K,1.18M,Asia,9282410.0,United Arab Emirates
4,Argentina,22.85,3.33M,9.31M,Americas,47327407.0,Argentina
5,Armenia,0.681,15.44M,15.98M,Asia,2963900.0,Armenia
7,Australia,19.835,16.43M,40.59M,Oceania,25920968.0,Australia
8,Austria,8.876,13.04M,19.95M,Europe,9027999.0,Austria
9,Azerbaijan,-3.251,4.95M,4.20M,Asia,10164464.0,Azerbaijan
10,Burundi,27.323,8.70M,29.12M,Africa,12574571.0,Burundi
11,Belgium,14.957,1.86M,3.73M,Europe,11657619.0,Belgium
12,Benin,-4.714,31.64M,24.85M,Africa,12506347.0,Benin
13,Burkina Faso,2.874,57.53M,66.29M,Africa,21510181.0,Burkina Faso
14,Bangladesh,9.965,163.81M,263.39M,Asia,168220000.0,Bangladesh
15,Bulgaria,-31.091,3.52M,546.60K,Europe,6520314.0,Bulgaria
16,Bahamas,43.37,3.17M,19.21M,Americas,393450.0,Bahamas
17,Bosnia and Herzegovina,10.808,14.60M,24.39M,Europe,3320954.0,Bosnia and Herzegovina
18,Belarus,7.438,5.18M,7.41M,Europe,9349645.0,Belarus
19,Belize,-27.204,7.00M,1.43M,Americas,430191.0,Belize
20,Bermuda,-1.062,7.40M,7.02M,Americas,64055.0,Bermuda
21,Bolivia,9.282,2.21M,3.44M,Americas,11797257.0,Bolivia
22,Brazil,19.472,17.84M,43.43M,Americas,214902876.0,Brazil
24,Bhutan,34.112,650.01K,2.82M,Asia,763200.0,Bhutan
25,Botswana,-4.827,30.93M,24.15M,Africa,2410338.0,Botswana
26,Central African Republic,-20.311,282.87M,90.90M,Africa,5633412.0,Central African Republic
27,Canada,4.659,84.32M,105.88M,Americas,38823639.0,Canada
28,Switzerland,1.617,1.30G,1.40G,Europe,8753933.0,Switzerland
29,Chile,18.847,1.73M,4.10M,Americas,19678363.0,Chile
30,China,-4.265,23.15M,18.62M,Asia,1412600000.0,China
31,Cote d'Ivoire,56.033,60.91M,563.38M,Africa,27087732.0,Cote d'Ivoire
32,Cameroon,29.682,27.25M,99.93M,Africa,24348251.0,Cameroon
33,DR Congo,26.572,175.14M,568.93M,Africa,92378000.0,DR Congo
34,Congo Republic,4.821,12.30M,15.57M,Africa,5657000.0,Congo Republic
35,Colombia,26.543,92.87M,301.34M,Americas,51049498.0,Colombia
36,Costa Rica,35.993,4.52M,21.03M,Americas,5163038.0,Costa Rica
37,Kosovo,95.259,293.75K,8.34M,Europe,1798188.0,Kosovo
38,Cuba,123.859,116.75K,6.56M,Americas,11113215.0,Cuba
39,Cyprus,-17.413,1.25M,481.90K,Asia,918100.0,Cyprus
40,Cyprus,-17.413,1.25M,481.90K,Asia,382230.0,Cyprus
41,Cyprus,-17.413,1.25M,481.90K,Asia,918100.0,Cyprus
42,Cyprus,-17.413,1.25M,481.90K,Asia,382230.0,Cyprus
43,Czech Republic,-15.976,10.86M,4.55M,Europe,10516708.0,Czech Republic
44,Germany,9.129,10.14M,15.69M,Europe,83695430.0,Germany
45,Djibouti,17.322,2.16M,4.80M,Africa,976107.0,Djibouti
46,Denmark,-20.351,7.32M,2.35M,Europe,5883562.0,Denmark
47,Dominican Republic,16.59,11.60M,24.99M,Americas,10535535.0,Dominican Republic
48,Algeria,10.006,2.95M,4.75M,Africa,45400000.0,Algeria
49,Ecuador,40.073,9.33M,50.30M,Americas,18023212.0,Ecuador
50,Egypt,-7.337,131.39M,89.76M,Africa,103596325.0,Egypt
53,Spain,29.632,1.71M,6.26M,Europe,47432805.0,Spain
